ProblemNo,Connection,Cost
35,15707 : 26 -> 27 ; 22411 : 14 -> 15 ; 19168 : 14 -> 15 ; 13007 : 63 -> 64 ; 18109 : 35 -> 38 ; 12419 : 7 -> 8 ; 19040 : 43 -> 44 ; 14865 : 12 -> 13 ; 19040 : 46 -> 48 ; 12987 : 18 -> 19 ; 19716 : 10 -> 11 ; 12987 : 20 -> 21 ; 22981 : 10 -> 12 ; 22631 : 27 -> 28 ; 22981 : 15 -> 16 ; 22482 : 16 -> 18 ; 24888 : 8 -> 10 ; 22631 : 31 -> 32 ; 54704 : 28 -> 30 ; 54702 : 2 -> 3 ; 11013 : 25 -> 26 ; 56213 : 18 -> 19 ; 12658 : 2 -> 3 ; 17209 : 6 -> 7 ; 56213 : 30 -> 34 ; 22626 : 5 -> 7 ; 22650 : 13 -> 14 ; 16022 : 17 -> 18 ; 12692 : 12 -> 13 ; 22681 : 10 -> 11 ; 17652 : 19 -> 20 ; 22404 : 13 -> 14 ; 16859 : 1 -> 2,1340
36,19108 : 8 -> 9 ; 19224 : 30 -> 32 ; 54703 : 13 -> 15 ; 24887 : 23 -> 24 ; 54701 : 16 -> 18 ; 54703 : 18 -> 19 ; 19224 : 35 -> 36 ; 24887 : 27 -> 28 ; 54703 : 28 -> 31 ; 54702 : 2 -> 3 ; 11013 : 25 -> 26 ; 17307 : 9 -> 10 ; 16534 : 2 -> 3 ; 57477 : 20 -> 24 ; 22884 : 5 -> 7 ; 57305 : 49 -> 54 ; 22832 : 7 -> 8 ; 22884 : 8 -> 10 ; 57305 : 72 -> 73 ; 56503 : 69 -> 70 ; 57305 : 75 -> 77 ; 57651 : 29 -> 30 ; 22884 : 11 -> 13 ; 18504 : 20 -> 21 ; 18646 : 14 -> 15 ; 57271 : 22 -> 23 ; 57257 : 81 -> 83 ; 18646 : 16 -> 17 ; 18568 : 32 -> 33 ; 57271 : 39 -> 40 ; 22870 : 10 -> 11 ; 57264 : 25 -> 26 ; 02509 : 5 -> 6 ; 22884 : 19 -> 20 ; 22810 : 4 -> 6 ; 22874 : 3 -> 4 ; 22884 : 23 -> 24 ; 22880 : 17 -> 18 ; 18646 : 38 -> 39 ; 18448 : 36 -> 38 ; 18646 : 40 -> 41 ; 22910 : 2 -> 3 ; 22890 : 3 -> 4 ; 18516 : 14 -> 15,1903
37,54602 : 21 -> 22 ; 19804 : 12 -> 13 ; 12456 : 18 -> 19 ; 19804 : 16 -> 17 ; 12486 : 11 -> 12 ; 22458 : 10 -> 11 ; 29020 : 13 -> 15 ; 18631 : 35 -> 36 ; 22942 : 9 -> 10 ; 59802 : 8 -> 9 ; 19806 : 21 -> 22 ; 22934 : 4 -> 6 ; 19040 : 65 -> 66 ; 59802 : 25 -> 26 ; 22926 : 19 -> 20 ; 12961 : 16 -> 17 ; 59393 : 22 -> 26 ; 52973 : 1 -> 7 ; 52993 : 1 -> 18 ; 21068 : 14 -> 15 ; 22112 : 18 -> 19 ; 59026 : 11 -> 12 ; 59078 : 3 -> 5 ; 59014 : 9 -> 12,1422
38,22655 : 8 -> 9 ; 22851 : 36 -> 37 ; 19259 : 16 -> 17 ; 16859 : 49 -> 52 ; 16523 : 16 -> 17 ; 22636 : 3 -> 4 ; 22476 : 9 -> 10 ; 16523 : 23 -> 24 ; 56640 : 18 -> 20 ; 22630 : 19 -> 20 ; 22655 : 13 -> 14 ; 19577 : 18 -> 19 ; 22633 : 19 -> 20,1092
39,58114 : 31 -> 35 ; 22843 : 6 -> 7 ; 18478 : 56 -> 57 ; 58114 : 41 -> 44 ; 18478 : 58 -> 59 ; 18029 : 67 -> 68 ; 58114 : 49 -> 51 ; 18478 : 60 -> 62 ; 58012 : 5 -> 6 ; 18615 : 8 -> 9 ; 58012 : 9 -> 12 ; 22891 : 8 -> 9 ; 22843 : 10 -> 12 ; 15233 : 4 -> 5 ; 53049 : 34 -> 36 ; 83131 : 6 -> 7 ; 53049 : 37 -> 39 ; 83131 : 8 -> 9 ; 18603 : 15 -> 16 ; 18629 : 11 -> 12 ; 19710 : 14 -> 16 ; 14018 : 33 -> 34,737
40,15111 : 4 -> 13 ; 14203 : 1 -> 7 ; 14308 : 34 -> 35,3
41,14313 : 15 -> 27 ; 19269 : 22 -> 23 ; 23010 : 12 -> 13 ; 14266 : 21 -> 22 ; 14308 : 8 -> 9 ; 23010 : 17 -> 19 ; 14266 : 31 -> 32 ; 14308 : 17 -> 18,8
42,23010 : 58 -> 59,1
43,14266 : 8 -> 12 ; 23010 : 3 -> 5,2
44,15043 : 9 -> 11,2
45,15043 : 5 -> 7,1
46,23010 : 35 -> 62,2
47,14313 : 14 -> 27 ; 19269 : 22 -> 23 ; 23010 : 12 -> 13 ; 14266 : 21 -> 22 ; 14308 : 8 -> 9 ; 23010 : 17 -> 19 ; 14266 : 31 -> 34 ; 14204 : 4 -> 5 ; 14266 : 36 -> 39 ; 14204 : 9 -> 10 ; 14266 : 41 -> 47 ; 14204 : 15 -> 16 ; 23010 : 38 -> 64,14
48,23010 : 2 -> 9 ; 19269 : 22 -> 23 ; 23010 : 12 -> 13 ; 14266 : 21 -> 22 ; 14308 : 8 -> 9 ; 23010 : 17 -> 32,6
49,14308 : 23 -> 24 ; 14266 : 36 -> 39 ; 14204 : 9 -> 10 ; 14266 : 41 -> 47 ; 14204 : 15 -> 16 ; 23010 : 38 -> 68,7
50,15206 : 20 -> 24 ; 13007 : 63 -> 64 ; 18109 : 35 -> 38 ; 12419 : 7 -> 8 ; 19040 : 43 -> 44 ; 14865 : 12 -> 13 ; 19040 : 46 -> 48 ; 12987 : 18 -> 19 ; 19716 : 10 -> 11 ; 12987 : 20 -> 21 ; 22981 : 10 -> 12 ; 22631 : 27 -> 28 ; 22981 : 15 -> 16 ; 22482 : 16 -> 18 ; 24888 : 8 -> 10 ; 22631 : 31 -> 32 ; 54704 : 28 -> 30 ; 54702 : 2 -> 3 ; 11013 : 25 -> 26 ; 56213 : 18 -> 19 ; 17235 : 2 -> 4 ; 16573 : 4 -> 5 ; 22651 : 6 -> 8 ; 17235 : 8 -> 9 ; 22688 : 30 -> 31 ; 22651 : 11 -> 13,26
51,28242 : 19 -> 20 ; 58111 : 73 -> 74 ; 22647 : 9 -> 10 ; 58111 : 77 -> 82 ; 18239 : 25 -> 26 ; 58111 : 84 -> 87 ; 18239 : 27 -> 28 ; 58111 : 89 -> 90 ; 22647 : 13 -> 14 ; 22940 : 5 -> 6 ; 12656 : 19 -> 20 ; 12810 : 25 -> 26 ; 22940 : 7 -> 8 ; 22457 : 6 -> 7 ; 19454 : 25 -> 26 ; 59026 : 11 -> 12 ; 59078 : 3 -> 5 ; 22940 : 11 -> 12 ; 19048 : 35 -> 37 ; 59026 : 19 -> 20 ; 59439 : 35 -> 36 ; 22940 : 13 -> 14 ; 19115 : 11 -> 12 ; 59439 : 50 -> 51 ; 29059 : 6 -> 7 ; 19215 : 35 -> 37 ; 29059 : 8 -> 9 ; 59439 : 63 -> 65 ; 22927 : 20 -> 21 ; 59439 : 71 -> 72 ; 19017 : 18 -> 19 ; 19215 : 47 -> 48 ; 59547 : 8 -> 11 ; 19017 : 20 -> 22 ; 59207 : 22 -> 23 ; 59547 : 20 -> 21 ; 19017 : 23 -> 24 ; 29059 : 14 -> 15,39
52,57129 : 30 -> 31 ; 57130 : 23 -> 24 ; 22882 : 11 -> 12 ; 17320 : 10 -> 11 ; 12702 : 11 -> 12 ; 51030 : 8 -> 9 ; 51434 : 4 -> 5,7
53,18695 : 3 -> 5 ; 23225 : 15 -> 16 ; 83131 : 32 -> 33 ; 13007 : 36 -> 37 ; 83131 : 35 -> 36 ; 13201 : 3 -> 5 ; 22405 : 9 -> 10 ; 19422 : 3 -> 5 ; 19322 : 3 -> 4 ; 19422 : 7 -> 8 ; 22132 : 2 -> 4 ; 22857 : 9 -> 10 ; 19168 : 14 -> 15 ; 13007 : 63 -> 64 ; 18109 : 35 -> 38 ; 12419 : 7 -> 8 ; 19040 : 43 -> 44 ; 14865 : 12 -> 13 ; 19040 : 46 -> 48 ; 59812 : 1 -> 2 ; 19040 : 49 -> 51 ; 59812 : 7 -> 10,22
54,59811 : 28 -> 30 ; 19801 : 1 -> 2 ; 54812 : 60 -> 61 ; 18208 : 9 -> 10 ; 18574 : 14 -> 15 ; 22182 : 7 -> 8 ; 11272 : 11 -> 14 ; 18208 : 12 -> 13 ; 22829 : 19 -> 20 ; 22909 : 12 -> 13 ; 28242 : 11 -> 12 ; 58230 : 22 -> 26 ; 18233 : 61 -> 62 ; 58230 : 28 -> 32 ; 18478 : 41 -> 43 ; 22909 : 15 -> 16 ; 18508 : 26 -> 27 ; 18474 : 29 -> 30 ; 22905 : 24 -> 25 ; 22909 : 17 -> 19,20
55,12894 : 2 -> 3 ; 18426 : 14 -> 15 ; 22828 : 11 -> 12 ; 22866 : 8 -> 9 ; 18478 : 53 -> 54 ; 18418 : 13 -> 14 ; 58114 : 32 -> 35 ; 22843 : 6 -> 7 ; 18478 : 56 -> 57 ; 58114 : 41 -> 44 ; 18478 : 58 -> 59 ; 18029 : 67 -> 68 ; 58114 : 49 -> 51 ; 18478 : 60 -> 62 ; 58012 : 5 -> 6 ; 18615 : 8 -> 9 ; 58012 : 9 -> 12 ; 22891 : 8 -> 9 ; 22843 : 10 -> 12 ; 15233 : 4 -> 5 ; 53049 : 34 -> 36 ; 83131 : 6 -> 7 ; 53049 : 37 -> 39 ; 83131 : 8 -> 9 ; 18603 : 15 -> 16 ; 18629 : 11 -> 12 ; 15651 : 15 -> 17 ; 15279 : 7 -> 8 ; 22411 : 10 -> 12 ; 15203 : 12 -> 13 ; 11060 : 3 -> 4 ; 19710 : 20 -> 21 ; 13019 : 47 -> 48 ; 15203 : 18 -> 19 ; 19040 : 17 -> 18 ; 12531 : 2 -> 3 ; 15203 : 23 -> 25,37
56,11024 : 26 -> 28 ; 22865 : 2 -> 3 ; 22893 : 4 -> 5 ; 22939 : 16 -> 18 ; 21028 : 31 -> 32 ; 12771 : 12 -> 14 ; 22939 : 19 -> 20 ; 22648 : 46 -> 47 ; 12811 : 11 -> 12 ; 22939 : 21 -> 22 ; 12856 : 12 -> 13 ; 58112 : 39 -> 41 ; 18518 : 24 -> 27 ; 22909 : 15 -> 16 ; 18508 : 26 -> 27 ; 18474 : 29 -> 30 ; 22905 : 24 -> 25 ; 22909 : 17 -> 20 ; 18303 : 8 -> 10 ; 18474 : 38 -> 39 ; 18516 : 14 -> 16 ; 18416 : 7 -> 8,22
57,59439 : 38 -> 40 ; 19215 : 24 -> 25 ; 59439 : 42 -> 43 ; 29059 : 3 -> 4 ; 59439 : 46 -> 47 ; 19115 : 11 -> 12 ; 59439 : 50 -> 51 ; 29059 : 6 -> 7 ; 19215 : 35 -> 37 ; 29059 : 8 -> 9 ; 59439 : 63 -> 65 ; 22927 : 20 -> 21 ; 59439 : 71 -> 72 ; 19269 : 8 -> 9 ; 19707 : 20 -> 22 ; 59272 : 22 -> 24 ; 22931 : 17 -> 18 ; 19707 : 29 -> 30 ; 54805 : 47 -> 48 ; 19707 : 31 -> 32 ; 25014 : 21 -> 22 ; 22931 : 20 -> 21 ; 24888 : 5 -> 6 ; 19223 : 12 -> 13 ; 54812 : 7 -> 11 ; 24888 : 7 -> 10 ; 22631 : 31 -> 32 ; 54704 : 28 -> 30 ; 54702 : 2 -> 3 ; 11013 : 25 -> 26 ; 56213 : 18 -> 19 ; 17235 : 2 -> 4 ; 16573 : 4 -> 5 ; 22851 : 25 -> 27 ; 12083 : 7 -> 8,35
58,50106 : 16 -> 17 ; 11004 : 13 -> 14 ; 22633 : 20 -> 21 ; 12741 : 7 -> 8 ; 22865 : 2 -> 3 ; 22893 : 4 -> 5 ; 22939 : 16 -> 18 ; 21028 : 31 -> 32 ; 12771 : 12 -> 14 ; 22939 : 19 -> 20 ; 22648 : 46 -> 47 ; 12811 : 11 -> 12 ; 22939 : 21 -> 22 ; 12856 : 12 -> 13 ; 58112 : 39 -> 41 ; 18518 : 24 -> 27 ; 22909 : 15 -> 16 ; 18508 : 26 -> 27 ; 18474 : 29 -> 30 ; 22905 : 24 -> 25 ; 18478 : 53 -> 54,21
